GeneID	GSM4051655	GSM4051656	GSM4051657	GSM4051658	GSM4051659	GSM4051660	GSM4051661	GSM4051662	GSM4051663	GSM4051664
100287102	3	5	1	2	0	12	8	0	4	5
653635	301	479	132	285	180	242	252	140	306	164
102466751	29	37	15	25	27	12	45	15	15	11
107985730	0	0	0	0	0	0	1	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	1	0
79501	0	0	0	0	0	0	0	0	0	0
100996442	34	25	12	40	33	24	51	26	56	35
729737	146	81	37	89	74	66	186	174	69	53
102725121	5	3	1	2	0	7	10	10	7	2
102723897	458	587	156	398	254	282	331	156	441	249
102465909	13	8	10	9	9	11	12	10	9	7
107985721	0	0	0	1	0	0	0	0	0	0
112268260	2	4	1	8	5	3	3	0	6	5
729759	0	0	0	0	0	0	0	0	0	0
100132287	114	120	13	67	53	52	185	85	71	41
105378947	2	0	0	1	2	1	0	0	0	0
101928626	0	0	0	0	1	0	0	0	0	0
113219467	109	682	118	293	283	217	171	299	278	323
81399	3	3	2	2	1	2	0	3	6	2
100133331	237	185	43	87	93	104	421	230	127	78
107984841	51	152	35	43	33	34	88	50	64	34
107984847	167	375	74	140	82	71	155	32	203	79
107984849	7	50	4	13	14	8	15	12	17	10
100288069	60	156	43	80	36	35	99	38	75	61
105378580	89	95	68	116	75	63	76	30	342	107
400728	3	9	0	1	3	6	0	5	6	7
79854	4	12	0	5	2	2	4	0	10	9
643837	139	174	24	77	55	73	226	8	79	107
107984850	0	0	0	0	2	0	0	0	0	1
284593	0	0	0	0	0	0	1	0	0	0
284600	7	113	1	6	1	20	90	0	11	10
100130417	62	11	21	49	7	19	166	0	40	48
107985728	200	132	16	74	29	189	233	11	42	80
148398	698	305	70	386	185	476	894	76	258	530
26155	1443	2421	474	641	505	818	824	417	895	822
339451	209	258	13	146	84	84	153	33	148	117
84069	156	300	4	72	95	78	24	0	27	19
84808	39	29	2	18	76	14	9	0	12	5
57801	773	431	72	156	225	618	181	86	188	194
9636	975	227	26	187	4069	231	165	21	375	478
375790	9455	10247	2244	5393	6253	8565	4130	2835	915	4493
100288175	47	25	3	9	16	12	0	2	1	2
112267874	33	70	7	11	20	19	15	6	10	12
105378948	77	56	16	60	30	32	47	10	35	42
401934	65	98	10	7	39	4	2	0	0	4
54991	212	291	27	132	91	210	200	51	168	116
254099	3	9	0	6	0	1	0	0	1	0
406984	31	55	4	8	1	20	10	10	0	15
406983	20	28	4	15	9	21	7	13	3	22
554210	4	12	15	0	1	1	3	2	1	5
100506376	7	3	2	2	4	0	3	0	4	7
254173	23	21	0	4	11	1	3	2	11	9
8784	143	48	4	30	29	47	52	3	69	29
7293	409	97	19	97	106	229	179	4	466	96
51150	3840	4176	1351	2596	2094	2393	2480	1163	3876	2166
126792	218	358	105	126	133	173	138	70	143	164
388581	48	33	0	24	21	15	5	1	10	9
118424	430	539	163	349	275	333	305	153	377	272
101928895	142	87	46	76	29	96	123	15	110	62
6339	153	77	35	98	16	102	172	29	172	69
116983	1694	1260	374	993	407	1278	1043	400	963	863
102465434	3	2	0	3	0	1	0	0	0	0
109623456	11	13	1	8	2	15	13	9	11	11
126789	177	156	44	107	49	153	99	53	121	81
54973	997	1425	314	771	556	569	786	454	862	688
102465435	6	4	1	7	2	2	0	5	9	3
80772	371	488	93	210	137	137	269	126	241	169
83756	418	132	38	159	47	127	97	53	297	92
1855	3445	4997	1498	1544	1171	1915	1667	1127	1123	1436
102466740	7	7	0	3	2	0	0	1	3	0
54587	5397	9031	322	2742	2577	2368	9935	183	976	2035
54998	821	821	208	354	472	538	269	260	398	286
81669	1093	1509	238	713	609	555	987	283	775	599
148413	412	366	146	244	120	204	284	84	284	304
55052	90	182	39	89	141	68	73	57	148	85
107984868	0	0	0	4	4	0	4	4	4	6
441869	124	158	87	264	104	124	288	154	168	331
105378585	0	1	3	2	2	2	1	2	8	10
643965	2	22	0	1	2	5	0	0	0	2
102724312	13	69	22	38	12	86	40	6	21	37
107985729	102	267	53	97	23	196	83	18	33	67
64856	3456	3187	1036	2797	1845	4855	2625	1050	892	3508
219293	54	110	56	75	59	62	64	76	69	143
83858	5268	918	817	635	380	2272	628	573	660	515
55210	656	704	226	309	247	404	361	158	296	271
339453	134	94	6	53	12	78	107	11	34	33
29101	221	361	105	139	130	134	148	44	165	156
643988	73	52	4	43	45	53	96	0	20	40
105378586	5	19	0	8	2	8	3	0	3	4
142678	2326	3205	703	1033	408	1793	2016	691	1288	986
8510	274	253	43	103	73	124	924	5	149	64
984	452	641	161	399	327	179	412	142	439	385
728661	1039	1060	588	1028	505	765	951	592	1116	858
8511	142	151	25	59	46	52	527	4	66	34
728642	345	458	76	482	208	175	313	94	627	219
9906	536	764	419	910	337	508	411	301	1076	524
112268218	37	51	14	35	28	38	31	19	69	35
65220	1385	1037	259	744	437	558	719	225	1023	629
2782	1419	3134	445	1089	1595	863	768	352	1708	1016
105378949	12	39	0	8	4	8	0	15	19	4
163688	13	13	21	9	0	0	18	15	8	4
339456	0	12	65	10	3	25	20	104	1	20
85452	2	13	0	4	0	0	0	0	3	2
107984872	1	6	0	0	0	0	0	0	1	0
105378589	5	0	0	1	2	0	3	0	0	1
2563	32	29	5	21	37	25	0	0	5	11
105378590	0	4	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	2	6	0	0	0
5590	277	352	148	199	182	117	137	132	255	170
100506504	3	7	0	12	10	12	6	3	11	4
199990	315	504	101	238	226	296	471	144	232	217
112268219	177	212	128	113	42	117	164	71	104	108
105378593	14	31	7	29	3	13	38	18	30	5
6497	2025	2482	238	1173	899	789	2297	418	1475	968
79906	177	260	76	184	81	157	176	71	144	123
100129534	4	30	4	14	1	4	7	20	22	4
11079	665	1602	330	516	676	499	586	365	467	448
5192	392	733	274	276	237	352	262	299	242	410
9651	501	362	57	270	471	448	196	100	520	584
55229	588	575	185	336	158	385	300	144	439	259
388585	12	0	0	5	5	0	0	4	2	3
115110	878	888	114	507	280	440	345	68	706	310
8764	1842	2200	260	1527	741	906	1040	142	2010	976
100996583	17	26	4	8	6	8	3	7	43	3
127281	908	1244	100	439	557	438	332	105	379	372
79258	39	133	23	46	73	56	22	8	41	50
105378597	0	0	0	4	0	0	11	0	6	0
100287898	9	50	8	35	5	27	38	19	36	29
105378603	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	2	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0
440556	32	70	32	94	7	78	89	153	6	56
63976	104	292	79	113	80	125	104	249	38	106
100422968	0	0	0	1	0	0	0	0	0	1
105378606	15	42	0	27	7	28	27	29	4	12
107984909	12	17	2	26	3	35	0	21	2	8
105378605	12	9	7	7	11	10	9	19	5	3
105378604	87	130	52	63	52	57	55	120	15	40
27237	983	2054	211	497	524	405	254	249	22	353
1953	4296	6973	694	2036	1064	1464	5277	334	2221	1117
105378608	53	71	0	18	8	11	17	5	22	20
693135	0	0	0	0	0	0	0	0	0	0
105378607	8	0	0	2	0	0	0	0	3	0
